,adjetivo,sentiment
0,abafada,-1
1,abafadas,-1
2,abafado,-1
3,abafados,-1
4,abafante,-1
5,abafante,-1
6,abafantes,-1
7,abafantes,-1
8,abaixada,-1
9,abaixadas,-1
10,abaixado,-1
11,abaixados,-1
12,abalada,-1
13,abaladas,-1
14,abalado,-1
15,abalados,-1
16,abalizada,1
17,abalizadas,1
18,abalizado,1
19,abalizados,1
20,abandalhada,-1
21,abandalhadas,-1
22,abandalhado,-1
23,abandalhados,-1
24,abandonada,-1
25,abandonadas,-1
26,abandonado,-1
27,abandonados,-1
28,abarcante,-1
29,abarcante,-1
30,abarcantes,-1
31,abarcantes,-1
32,abarrotada,-1
33,abarrotadas,-1
34,abarrotado,-1
35,abarrotados,-1
36,abastada,1
37,abastadas,1
38,abastado,1
39,abastados,1
40,abastecida,0
41,abastecidas,0
42,abastecido,0
43,abastecidos,0
44,abatida,-1
45,abatidas,-1
46,abatido,-1
47,abatidos,-1
48,abelhuda,-1
49,abelhudas,-1
50,abelhudo,-1
51,abelhudos,-1
52,abençoada,1
53,abençoadas,1
54,abençoado,1
55,abençoados,1
56,aberrante,-1
57,aberrante,-1
58,aberrantes,-1
59,aberrantes,-1
60,aberrativa,-1
61,aberrativas,-1
62,aberrativo,-1
63,aberrativos,-1
64,aberta,1
65,abertas,1
66,aberto,1
67,abertos,1
68,abespinhada,-1
69,abespinhadas,-1
70,abespinhado,-1
71,abespinhados,-1
72,abestalhada,-1
73,abestalhadas,-1
74,abestalhado,-1
75,abestalhados,-1
76,abilolada,-1
77,abiloladas,-1
78,abilolado,-1
79,abilolados,-1
80,abismada,-1
81,abismadas,-1
82,abismado,-1
83,abismados,-1
84,abismais,-1
85,abismais,-1
86,abismal,-1
87,abismal,-1
88,abjecta,-1
89,abjectas,-1
90,abjecto,-1
91,abjectos,-1
92,abjeta,-1
93,abjetas,-1
94,abjeto,-1
95,abjetos,-1
96,abnegada,1
97,abnegadas,1
98,abnegado,1
99,abnegados,1
100,abobada,-1
101,abobadas,-1
102,abobado,-1
103,abobados,-1
104,abobalhada,-1
105,abobalhadas,-1
106,abobalhado,-1
107,abobalhados,-1
108,abolicionista,0
109,abolicionista,0
110,abolicionistas,0
111,abolicionistas,0
112,abolida,-1
113,abolidas,-1
114,abolido,-1
115,abolidos,-1
116,abominador,-1
117,abominadora,-1
118,abominadoras,-1
119,abominadores,-1
120,abominanda,-1
121,abominandas,-1
122,abominando,-1
123,abominandos,-1
124,abomináveis,-1
125,abomináveis,-1
126,abominável,-1
127,abominável,-1
128,abonada,1
129,abonadas,1
130,abonado,1
131,abonados,1
132,abonatória,1
133,abonatórias,1
134,abonatório,1
135,abonatórios,1
136,abonecada,0
137,abonecadas,0
138,abonecado,0
139,abonecados,0
140,aborígene,-1
141,aborígene,-1
142,aborígenes,-1
143,aborígenes,-1
144,aborrecida,-1
145,aborrecidas,-1
146,aborrecido,-1
147,aborrecidos,-1
148,abortada,-1
149,abortadas,-1
150,abortado,-1
151,abortados,-1
152,abraçada,1
153,abraçadas,1
154,abraçado,1
155,abraçados,1
156,abrangente,-1
157,abrangente,-1
158,abrangentes,-1
159,abrangentes,-1
160,abrangida,-1
161,abrangidas,-1
162,abrangido,-1
163,abrangidos,-1
164,abrasileirada,0
165,abrasileiradas,0
166,abrasileirado,0
167,abrasileirados,0
168,abrigada,0
169,abrigadas,0
170,abrigado,0
171,abrigados,0
172,abrilhantada,1
173,abrilhantadas,1
174,abrilhantado,1
175,abrilhantados,1
176,abrupta,-1
177,abruptas,-1
178,abrupto,-1
179,abruptos,-1
180,abrutalhada,-1
181,abrutalhadas,-1
182,abrutalhado,-1
183,abrutalhados,-1
184,absentista,-1
185,absentista,-1
186,absentistas,-1
187,absentistas,-1
188,absoluta,0
189,absolutas,0
190,absolutista,0
191,absolutista,0
192,absolutistas,0
193,absolutistas,0
194,absoluto,0
195,absolutos,0
196,absolvida,0
197,absolvidas,0
198,absolvido,0
199,absolvidos,0
200,absorta,-1
201,absortas,-1
202,absorto,-1
203,absortos,-1
204,absorvente,1
205,absorvente,1
206,absorventes,1
207,absorventes,1
208,abstémia,1
209,abstémias,1
210,abstémica,1
211,abstémicas,1
212,abstémico,1
213,abstémicos,1
214,abstémio,1
215,abstémios,1
216,abstencionista,0
217,abstencionista,0
218,abstencionistas,0
219,abstencionistas,0
220,abstinente,0
221,abstinente,0
222,abstinentes,0
223,abstinentes,0
224,abstraccionista,0
225,abstraccionista,0
226,abstraccionistas,0
227,abstraccionistas,0
228,abstracta,-1
229,abstractas,-1
230,abstracto,-1
231,abstractos,-1
232,abstraída,-1
233,abstraídas,-1
234,abstraído,-1
235,abstraídos,-1
236,abstrata,-1
237,abstratas,-1
238,abstrato,-1
239,abstratos,-1
240,abstrusa,-1
241,abstrusas,-1
242,abstruso,-1
243,abstrusos,-1
244,absurda,-1
245,absurdas,-1
246,absurdo,-1
247,absurdos,-1
248,abúlica,-1
249,abúlicas,-1
250,abúlico,-1
251,abúlicos,-1
252,aburguesada,0
253,aburguesadas,0
254,aburguesado,0
255,aburguesados,0
256,abusada,-1
257,abusadas,-1
258,abusado,-1
259,abusador,-1
260,abusadora,-1
261,abusadoras,-1
262,abusadores,-1
263,abusados,-1
264,abusiva,-1
265,abusivas,-1
266,abusivo,-1
267,abusivos,-1
268,acabada,-1
269,acabadas,-1
270,acabado,-1
271,acabados,-1
272,acabadota,-1
273,acabadotas,-1
274,acabadote,-1
275,acabadotes,-1
276,acabrunhada,-1
277,acabrunhadas,-1
278,acabrunhado,-1
279,acabrunhados,-1
280,acaciana,-1
281,acacianas,-1
282,acaciano,-1
283,acacianos,-1
284,acadêmica,0
285,académica,-1
286,acadêmicas,0
287,académicas,-1
288,acadêmico,0
289,académico,-1
290,acadêmicos,0
291,académicos,-1
292,acalorada,0
293,acaloradas,0
294,acalorado,0
295,acalorados,0
296,açambarcador,-1
297,açambarcadora,-1
298,açambarcadoras,-1
299,açambarcadores,-1
300,acanhada,-1
301,acanhadas,-1
302,acanhado,-1
303,acanhados,-1
304,acarinhada,-1
305,acarinhadas,-1
306,acarinhado,-1
307,acarinhados,-1
308,acatada,1
309,acatadas,1
310,acatado,1
311,acatador,0
312,acatadora,0
313,acatadoras,0
314,acatadores,0
315,acatados,1
316,acautelada,0
317,acauteladas,0
318,acautelado,0
319,acautelados,0
320,accionada,-1
321,accionadas,-1
322,accionado,-1
323,accionados,-1
324,acéfala,-1
325,acéfalas,-1
326,acéfalo,-1
327,acéfalos,-1
328,aceita,0
329,aceitas,0
330,aceitáveis,1
331,aceitáveis,1
332,aceitável,1
333,aceitável,1
334,aceite,0
335,aceite,0
336,aceites,0
337,aceites,0
338,aceito,0
339,aceitos,0
340,acelerada,0
341,aceleradas,0
342,acelerado,0
343,acelerados,0
344,acentuada,0
345,acentuadas,0
346,acentuado,0
347,acentuados,0
348,acerada,-1
349,aceradas,-1
350,acerado,-1
351,acerados,-1
352,acerba,-1
353,acerbas,-1
354,acerbo,-1
355,acerbos,-1
356,acérrima,-1
357,acérrimas,-1
358,acérrimo,-1
359,acérrimos,-1
360,acertada,1
361,acertadas,1
362,acertado,1
363,acertados,1
364,acesa,0
365,acesas,0
366,aceso,0
367,acesos,0
368,acessíveis,1
369,acessíveis,1
370,acessível,1
371,acessível,1
372,achacada,-1
373,achacadas,-1
374,achacado,-1
375,achacados,-1
376,achada,0
377,achadas,0
378,achado,0
379,achados,0
380,achatada,-1
381,achatadas,-1
382,achatado,-1
383,achatados,-1
384,achegada,1
385,achegadas,1
386,achegado,1
387,achegados,1
388,achinesada,0
389,achinesadas,0
390,achinesado,0
391,achinesados,0
392,acidentada,-1
393,acidentadas,-1
394,acidentado,-1
395,acidentados,-1
396,aciganada,-1
397,aciganadas,-1
398,aciganado,-1
399,aciganados,-1
400,acintosa,-1
401,acintosas,-1
402,acintoso,-1
403,acintosos,-1
404,acirrada,-1
405,acirradas,-1
406,acirrado,-1
407,acirrados,-1
408,aclamada,0
409,aclamadas,0
410,aclamado,0
411,aclamados,0
412,acobardada,-1
413,acobardadas,-1
414,acobardado,-1
415,acobardados,-1
416,acobertada,-1
417,acobertadas,-1
418,acobertado,-1
419,acobertados,-1
420,acobreada,0
421,acobreadas,0
422,acobreado,0
423,acobreados,0
424,acocada,-1
425,acocadas,-1
426,acocado,-1
427,acocados,-1
428,açoitada,-1
429,açoitadas,-1
430,açoitado,-1
431,açoitados,-1
432,acolhedor,1
433,acolhedora,1
434,acolhedoras,1
435,acolhedores,1
436,acolhida,0
437,acolhidas,0
438,acolhido,0
439,acolhidos,0
440,acomodada,-1
441,acomodadas,-1
442,acomodadiça,-1
443,acomodadiças,-1
444,acomodadiço,-1
445,acomodadiços,-1
446,acomodado,-1
447,acomodados,-1
448,acomodatícia,0
449,acomodatícias,0
450,acomodatício,0
451,acomodatícios,0
452,acompanhada,0
453,acompanhadas,0
454,acompanhado,0
455,acompanhador,0
456,acompanhadora,0
457,acompanhadoras,0
458,acompanhadores,0
459,acompanhados,0
460,acompanhante,0
461,acompanhante,0
462,acompanhantes,0
463,acompanhantes,0
464,aconchegada,1
465,aconchegadas,1
466,aconchegado,1
467,aconchegados,1
468,acoplada,-1
469,acopladas,-1
470,acoplado,-1
471,acoplados,-1
472,acordada,0
473,acordadas,0
474,acordado,0
475,acordados,0
476,acorde,1
477,acorde,1
478,acordes,1
479,acordes,1
480,acorrentada,-1
481,acorrentadas,-1
482,acorrentado,-1
483,acorrentados,-1
484,acossada,-1
485,acossadas,-1
486,acossado,-1
487,acossados,-1
488,acostumada,0
489,acostumadas,0
490,acostumado,0
491,acostumados,0
492,açougueira,-1
493,açougueiras,-1
494,açougueiro,-1
495,açougueiros,-1
496,acre,-1
497,acre,-1
498,acreditada,1
499,acreditadas,1
500,acreditado,1
501,acreditados,1
502,acreditáveis,0
503,acreditáveis,0
504,acreditável,0
505,acreditável,0
506,acres,-1
507,acres,-1
508,acrescentada,1
509,acrescentadas,1
510,acrescentado,1
511,acrescentados,1
512,acriançada,-1
513,acriançadas,-1
514,acriançado,-1
515,acriançados,-1
516,acrisolada,0
517,acrisoladas,0
518,acrisolado,0
519,acrisolados,0
520,acrítica,-1
521,acríticas,-1
522,acrítico,-1
523,acríticos,-1
524,activa,1
525,activas,1
526,activo,1
527,activos,1
528,actualista,0
529,actualista,0
530,actualistas,0
531,actualistas,0
532,açucarada,-1
533,açucaradas,-1
534,açucarado,-1
535,açucarados,-1
536,aculturada,-1
537,aculturadas,-1
538,aculturado,-1
539,aculturados,-1
540,acurada,1
541,acuradas,1
542,acurado,1
543,acurados,1
544,acusada,-1
545,acusadas,-1
546,acusado,-1
547,acusados,-1
548,acutilante,-1
549,acutilante,-1
550,acutilantes,-1
551,acutilantes,-1
552,acutíssima,0
553,acutíssimas,0
554,acutíssimo,0
555,acutíssimos,0
556,adâmica,-1
557,adâmicas,-1
558,adâmico,-1
559,adâmicos,-1
560,adaptada,0
561,adaptadas,0
562,adaptado,0
563,adaptados,0
564,adaptáveis,1
565,adaptáveis,1
566,adaptável,1
567,adaptável,1
568,adepta,1
569,adeptas,1
570,adepto,1
571,adeptos,1
572,adequada,1
573,adequadas,1
574,adequado,1
575,adequados,1
576,aderente,1
577,aderente,1
578,aderentes,1
579,aderentes,1
580,adestrada,1
581,adestradas,1
582,adestrado,1
583,adestrados,1
584,adicionais,0
585,adicionais,0
586,adicional,0
587,adicional,0
588,adicta,1
589,adictas,1
590,adicto,1
591,adictos,1
592,adida,-1
593,adidas,-1
594,adido,-1
595,adidos,-1
596,adiposa,-1
597,adiposas,-1
598,adiposo,-1
599,adiposos,-1
600,adjacente,0
601,adjacente,0
602,adjacentes,0
603,adjacentes,0
604,adjunta,-1
605,adjuntas,-1
606,adjunto,-1
607,adjuntos,-1
608,administrada,0
609,administradas,0
610,administrado,0
611,administrador,1
612,administradora,1
613,administradoras,1
614,administradores,1
615,administrados,0
616,admirada,-1
617,admiradas,-1
618,admirado,-1
619,admirados,-1
620,admiranda,-1
621,admirandas,-1
622,admirando,-1
623,admirandos,-1
624,admiráveis,1
625,admiráveis,1
626,admirável,1
627,admirável,1
628,admitida,0
629,admitidas,0
630,admitido,0
631,admitidos,0
632,admoestador,-1
633,admoestadora,-1
634,admoestadoras,-1
635,admoestadores,-1
636,adoentada,-1
637,adoentadas,-1
638,adoentado,-1
639,adoentados,-1
640,adorada,1
641,adoradas,1
642,adorado,1
643,adorados,1
644,adoranda,1
645,adorandas,1
646,adorando,1
647,adorandos,1
648,adoráveis,1
649,adoráveis,1
650,adorável,1
651,adorável,1
652,adormecida,-1
653,adormecidas,-1
654,adormecido,-1
655,adormecidos,-1
656,adornada,-1
657,adornadas,-1
658,adornado,-1
659,adornados,-1
660,adotada,-1
661,adotadas,-1
662,adotado,-1
663,adotados,-1
664,adstrita,-1
665,adstritas,-1
666,adstrito,-1
667,adstritos,-1
668,adubada,1
669,adubadas,1
670,adubado,1
671,adubados,1
672,adulador,-1
673,aduladora,-1
674,aduladoras,-1
675,aduladores,-1
676,adulta,0
677,adultas,0
678,adultera,-1
679,adúltera,-1
680,adulterada,0
681,adulteradas,0
682,adulterado,0
683,adulterador,-1
684,adulteradora,-1
685,adulteradoras,-1
686,adulteradores,-1
687,adulterados,0
688,adulteras,-1
689,adúlteras,-1
690,adulterina,-1
691,adulterinas,-1
692,adulterino,-1
693,adulterinos,-1
694,adultero,-1
695,adúltero,-1
696,adulteros,-1
697,adúlteros,-1
698,adulto,0
699,adultos,0
700,adventícia,-1
701,adventícias,-1
702,adventício,-1
703,adventícios,-1
704,adventista,0
705,adventista,0
706,adventistas,0
707,adventistas,0
708,adversa,-1
709,adversária,-1
710,adversárias,-1
711,adversário,-1
712,adversários,-1
713,adversas,-1
714,adverso,-1
715,adversos,-1
716,advertida,1
717,advertidas,1
718,advertido,1
719,advertidos,1
720,aérea,-1
721,aéreas,-1
722,aéreo,-1
723,aéreos,-1
724,afamada,1
725,afamadas,1
726,afamado,1
727,afamados,1
728,afanada,-1
729,afanadas,-1
730,afanado,-1
731,afanados,-1
732,afásica,-1
733,afásicas,-1
734,afásico,-1
735,afásicos,-1
736,afastada,-1
737,afastadas,-1
738,afastado,-1
739,afastados,-1
740,afáveis,1
741,afáveis,1
742,afável,1
743,afável,1
744,afecta,0
745,afectada,-1
746,afectadas,-1
747,afectado,-1
748,afectados,-1
749,afectas,0
750,afectiva,1
751,afectivas,1
752,afectivo,1
753,afectivos,1
754,afecto,0
755,afectos,0
756,afectuosa,1
757,afectuosas,1
758,afectuoso,1
759,afectuosos,1
760,afeiçoada,1
761,afeiçoadas,1
762,afeiçoado,1
763,afeiçoados,1
764,afeita,0
765,afeitas,0
766,afeito,0
767,afeitos,0
768,afeminada,-1
769,afeminadas,-1
770,afeminado,-1
771,afeminados,-1
772,aferida,0
773,aferidas,0
774,aferido,0
775,aferidos,0
776,aferrada,0
777,aferradas,0
778,aferrado,0
779,aferrados,0
780,afetada,-1
781,afetadas,-1
782,afetado,-1
783,afetados,-1
784,afetuosa,1
785,afetuosas,1
786,afetuoso,1
787,afetuosos,1
788,afiada,-1
789,afiadas,-1
790,afiado,-1
791,afiados,-1
792,afidalgada,0
793,afidalgadas,0
794,afidalgado,0
795,afidalgados,0
796,afilada,0
797,afiladas,0
798,afilado,0
799,afilados,0
800,afilhada,0
801,afilhadas,0
802,afilhado,0
803,afilhados,0
804,afim,-1
805,afim,-1
806,afinada,1
807,afinadas,1
808,afinado,1
809,afinados,1
810,afincada,0
811,afincadas,0
812,afincado,0
813,afincados,0
814,afins,-1
815,afins,-1
816,afirmativa,1
817,afirmativas,1
818,afirmativo,1
819,afirmativos,1
820,afixa,1
821,afixas,1
822,afixo,1
823,afixos,1
824,afligida,-1
825,afligidas,-1
826,afligido,-1
827,afligidos,-1
828,aflita,-1
829,aflitas,-1
830,aflitiva,-1
831,aflitivas,-1
832,aflitivo,-1
